Date,Open,High,Low,Close,Volume (BTC)
2013-05-16,112.0,119.1,108.28,114.0,5488.03780885
2013-05-17,114.01,122.0,112.35,117.0,4155.9806235
2013-05-18,117.84,118.98,115.81001,117.96,2009.73233964
2013-05-19,118.45,120.99,115.61,118.0,1392.76377313
2013-05-20,118.0,118.94,116.0,118.44,872.06485072
2013-05-21,118.29,118.6,117.0,117.99,1884.37729912
2013-05-22,117.91,120.0,117.0,119.19,2514.45393124
2013-05-23,119.44,124.25,118.6,123.97,4068.23548175
2013-05-24,124.04,130.0,122.4,129.19,7842.1757045
2013-05-25,129.25,129.73,125.1,128.49,2648.3599557
2013-05-26,129.0,133.0,128.0,130.19,2961.43379381
2013-05-27,129.435,130.59,123.0,126.78,3424.55054519
2013-05-28,126.16,127.0,123.0,126.69,2573.82772973
2013-05-29,126.73,140.68,125.67,129.79,3570.11190052
2013-05-30,129.8,131.0,124.15,125.8,4806.88250977
2013-05-31,126.54,129.1,126.0,127.9,2172.91266204
2013-06-01,127.9,129.0,127.0,128.79,947.96948972
2013-06-02,128.78,132.65,117.0,120.0,12638.3705053
2013-06-03,120.0,132.87,117.0,123.03,4010.12211144
2013-06-04,123.58,123.78,116.42,120.02,5134.9958556
2013-06-05,120.9,122.37,119.6,120.16,1400.43905156
2013-06-06,120.06,121.08,118.0,118.09,1290.66727574
2013-06-07,118.09,118.7,107.0,110.0,9690.30157389
2013-06-08,110.0,112.5,108.45,108.8,1839.2426295
2013-06-09,108.8,110.0,89.9,97.5,16609.4639956
2013-06-10,97.2,108.0,93.0,105.0,8857.46029819
2013-06-11,104.5,108.03,103.4,107.49,3197.72382881
2013-06-12,107.0,119.0,105.0,107.25,5021.60651631
2013-06-13,107.47,109.14,95.0,100.8,6291.50329328
2013-06-14,100.49,107.36,96.22,98.34,4510.05922594
2013-06-15,98.34,104.0,97.1,99.99,2338.75998238
2013-06-16,99.99,101.1,98.66,98.78,1208.9259396
2013-06-17,98.9,101.01,98.3,100.65,1265.81455265
2013-06-18,101.29,108.5,99.99,103.65,6087.69297493
2013-06-19,104.1,107.5,102.99,105.3,2778.99095087
2013-06-20,105.3,108.0,91.0,103.0,7024.9231493
2013-06-21,103.0,105.0,96.0,101.5,4356.90363565
2013-06-22,101.43,102.4,98.49,99.53,1177.66237993
2013-06-23,99.53,101.5,98.6,100.5,774.33420416
2013-06-24,100.0,102.13,95.38,99.27,2836.30230559
2013-06-25,98.54,100.9,97.5,98.2,3453.50485156
2013-06-26,98.21,100.0,96.99,97.81,1436.75945208
2013-06-27,98.37,98.47,93.0,93.91,2473.24450761
2013-06-28,92.82,96.4,88.01,88.83,6291.04482532
2013-06-29,88.01,91.6,86.15,88.74,1619.08578601
2013-06-30,88.47,90.25,88.26,89.24,534.21665722
2013-07-01,89.52,91.56,1.0,85.34,10920.2782183
2013-07-02,85.09,89.56,83.24,88.2,3189.45653643
2013-07-03,88.01,88.41,75.0,77.29,8648.99871267
2013-07-04,77.3,82.0,70.04,78.12,6930.4713473
2013-07-05,78.14,79.17,64.0,66.0,13857.0683361
2013-07-06,66.0,73.26,62.94,64.89,10296.5812546
2013-07-07,65.6,74.1,65.1,72.99,5763.60506478
2013-07-08,73.7,77.0,70.0,74.0,7430.01454623
2013-07-09,74.0,76.01,70.47,75.83,7081.46466093
2013-07-10,74.84,89.23,74.83,86.0,12139.4733177
2013-07-11,86.0,90.0,84.0,90.0,6924.99315883
2013-07-12,89.89,101.39,86.64,88.93,14005.6147654
2013-07-13,88.87,92.5,85.0,91.34,4131.98954089
2013-07-14,91.59,93.0,88.41,90.01,2241.17733011
2013-07-15,89.62,99.83,82.45,93.81,5811.54314515
2013-07-16,93.81,94.0,84.7,91.79,2430.2767884
2013-07-17,92.01,92.8,88.4085,90.6,2020.85109442
2013-07-18,90.6,91.0,77.0,83.52,7520.65640107
